Nombre variable,Tipo de dato,Formato,Unidad de medida,Descripción,Identificadores,Catálogo de referencia,Detalle de relación con catálogos,Identificador de valores nulos,Ejemplo de dato
debilidad_muscular,Numérico,n,0,El paciente presenta debilidad muscular 1=Si 2=No,0,0,0,0,1
paralisis,Numérico,n,0,El paciente presenta parálisis 1=Si 2=No,0,0,0,0,1
otitis,Numérico,n,0,El paciente presenta otitis 1=Si 2=No,0,0,0,0,1
choque,Numérico,n,0,El paciente presenta choque 1=Si 2=No,0,0,0,0,1
equimosis,Numérico,n,0,El paciente presenta equimosis 1=Si 2=No,0,0,0,0,2
hematomas,Numérico,n,0,El paciente presenta hematomas 1=Si 2=No,0,0,0,0,1
ascitis,Numérico,n,0,El paciente presenta ascitis 1=Si 2=No,0,0,0,0,2
derrame_pleural,Numérico,n,0,El paciente presenta derrame pleural 1=Si 2=No,0,0,0,0,2
edema,Numérico,n,0,El paciente presenta edema 1=Si 2=No,0,0,0,0,1
gingivorragia,Numérico,n,0,El paciente presenta gingivorragia 1=Si 2=No,0,0,0,0,1
epistaxis,Numérico,n,0,El paciente presenta epistaxis 1=Si 2=No,0,0,0,0,1
edema_articular,Numérico,n,0,El paciente presenta edema articular 1=Si 2=No,0,0,0,0,1
anorexia,Numérico,n,0,El paciente presenta anorexia 1=Si 2=No,0,0,0,0,1
cardiopatia_dilatada,Numérico,n,0,El paciente presenta cardiopatia dilatada 1=Si 2=No,0,0,0,0,2
changoma,Numérico,n,0,El paciente presenta chagoma de inoculación 1=Si 2=No,0,0,0,0,1
fatiga,Numérico,n,0,El paciente presenta fatiga 1=Si 2=No,0,0,0,0,2
mmegacolon,Numérico,n,0,El paciente presenta megacolon 1=Si 2=No,0,0,0,0,2
alteraciones_neurologicas,Numérico,n,0,El paciente presenta alteraciones neurológicas 1=Si 2=No,0,0,0,0,1
mmegaesofago,Numérico,n,0,El paciente presenta megaesófago 1=Si 2=No,0,0,0,0,1
miocardiopatia,Numérico,n,0,El paciente presenta miocardiopatía 1=Si 2=No,0,0,0,0,1
signo_romana,Numérico,n,0,El paciente presenta signo de romaña 1=Si 2=No,0,0,0,0,1
adinamia,Numérico,n,0,El paciente presenta adinamia 1=Si 2=No,0,0,0,0,1
hiperemia_faringea,Numérico,n,0,El paciente presenta hiperemia faringea 1=Si 2=No,0,0,0,0,2
astenia,Numérico,n,0,El paciente presenta astenia 1=Si 2=No,0,0,0,0,1
signos_meningeos,Numérico,n,0,El paciente presenta signos meningeos 1=Si 2=No,0,0,0,0,2
encefalitis,Numérico,n,0,El paciente presenta encefalitis 1=Si 2=No,0,0,0,0,2
meningitis,Numérico,n,0,El paciente presenta meningitis 1=Si 2=No,0,0,0,0,1
cefalea_frontal,Numérico,n,0,El paciente presenta cefalea frontal 1=Si 2=No,0,0,0,0,1
